,date,id,link,categories,authorship,tags,unique_entities,author.name,time_step,sentiment_score
327,2022-03-06 16:10:18,1607914,https://www.rappler.com/business/visa-mastercard-suspend-operations-russia-ukraine-invasion/,"[621, 625, 16490, 626]",[5083],"[2834, 1203, 17355]","['Al Kelly', 'Volodymyr Zelenskiy', 'Kyrylo Shevchenko', 'Joe Biden']",,2,0.0701410455486542
328,2022-03-06 22:45:09,1608300,https://www.rappler.com/business/iran-oil-could-take-months-flow-after-potential-nuclear-deal/,"[621, 622, 624]",[5083],"[1142, 2160]","['Sara Vakhshouri', 'Ehsan Khoman', 'Bjornar Tonhaugen', 'Donald Trump', 'Homayoun Falakshahi']",,2,-0.0004894179894179
329,2022-03-06 23:10:24,1608306,https://www.rappler.com/business/companies-harsh-words-tough-action-against-russia-ukraine-invasion/,"[621, 625, 16490]",[5083],"[2666, 2650, 1203, 17355]","['Vladimir Putin', 'Harley Davidson', 'Vicki Hollub']",,2,0.0204815516273849
330,2022-03-07 08:50:23,1608399,https://www.rappler.com/business/russia-warns-sovereign-bond-holders-payments-depend-sanctions/,"[621, 622]",[5083],"[2490, 1870, 1203, 17355]","['Josef Stalin', 'Vladimir Putin', 'Vladimir Lenin', 'Boris Yeltsin']",,2,0.0306375915750915
331,2022-03-07 09:25:43,1608343,https://www.rappler.com/business/southern-europe-grapples-with-changing-face-tourism/,"[621, 624]",[5083],"[2299, 2522, 1129]","['Babbis Voulgaris', 'Dimitris Diavatis', 'Marina Lalli', 'Helder Martins', 'Bruno Ramos', 'Yiannis Retsos', 'Sonia Cortes', 'Nico Aro', 'Costas Merianos', 'Jose Luis Zoreda']",,2,0.0833641616667932
332,2022-03-07 09:55:56,1608438,https://www.rappler.com/business/united-states-europe-allies-discuss-banning-russia-oil-imports-ukraine-invasion/,"[621, 622, 624]",[5083],"[2299, 2513, 2160, 1203, 17355, 2665]","['Antony Blinken', 'Joe Biden']",,2,0.0086411103516366
333,2022-03-07 13:50:28,1608849,https://www.rappler.com/business/how-reliance-industries-stunned-amazon-battle-future-retail-india/,"[621, 625]",[5083],"[2538, 1140, 2650]","['Devangshu Dutta', 'Mukesh Ambani', 'Kishore Biyani', 'Gopal Subramanium']",,2,0.0092556016514349
334,2022-03-07 14:15:51,1608921,https://www.rappler.com/business/japan-companies-feel-heat-over-russia-ties-rivals-shun-moscow/,"[621, 625]",[5083],"[2666, 1148, 1203, 17355]","['Jana Jevcakova', 'Fumio Kishida', 'Anders Schelde']",,2,0.0039306841563785
335,2022-03-07 17:10:06,1609129,https://www.rappler.com/business/philippine-peso-us-dollar-exchange-rate-march-7-2022/,"[621, 622]",[4952],"[2625, 2606]","['Luis Limlingan', 'Benjamin Diokno', 'Nicholas Mapa']",Ralf Rivas,2,-0.0006845238095238
336,2022-03-07 21:40:00,1609461,https://www.rappler.com/business/uniqlo-owner-stays-russia-netflix-american-express-sever-ties-affected-companies-march-7-2022/,"[621, 625]",[5083],"[2650, 1203, 17355]","['Tadashi Yanai', 'Vladimir Putin']",,2,0.0549901613537977
337,2022-03-07 22:00:57,1609492,https://www.rappler.com/business/updates-global-oil-prices-march-7-2022/,"[621, 624]",[5083],"[1142, 2160, 1203, 17355]","['Amrita Sen', 'Antony Blinken', 'Giovanni Staunovo']",,2,0.0090960743801652
338,2022-03-07 22:40:07,1609531,https://www.rappler.com/business/southeast-asian-equities-shine-commodities-rally-ukraine-crisis/,"[621, 626]",[5083],"[1141, 1168, 17355, 2181]","['Jerry Goh', 'Kenneth Tang', 'Chetan Seth']",,2,0.0835196995464852
339,2022-03-07 22:55:24,1609545,https://www.rappler.com/business/explainer-how-united-states-law-enforcement-could-take-control-russian-oligarchs-assets/,"[621, 625, 622]",[5083],"[2946, 1203, 17355, 2665]","['Duncan Levin', 'Michael Jackson', 'Vladimir Putin', 'Sarah Krissoff', 'Stefan Cassella']",,2,0.0078298377867343
340,2022-03-07 23:10:54,1609559,https://www.rappler.com/business/hundreds-bakeries-shut-sri-lanka-after-cooking-gas-runs-out-march-7-2022/,"[621, 624]",[5083],"[1453, 2439]","['KDR Olga', 'Danusha Gunewardene']",,2,0.0444444444444444
341,2022-03-08 08:55:21,1609569,https://www.rappler.com/business/explainer-war-ukraine-impact-russia-gas-supplies-europe/,"[621, 624]",[5083],"[2716, 2299, 1203, 17355, 1239]","['Olaf Scholz', 'Robert Habeck', 'Vladimir Putin']",,2,-0.0054116405874218
342,2022-03-08 09:40:00,1609660,https://www.rappler.com/business/united-states-may-act-alone-ban-russian-oil-imports-ukraine-invasion/,"[621, 622, 624]",[5083],"[2513, 2160, 1203, 17355, 2665]","['Olaf Scholz', 'Mohammed bin Salman', 'Joe Biden', 'Nancy Pelosi', 'Jen Psaki', 'Antony Blinken']",,2,-0.0155871212121212
343,2022-03-08 09:55:46,1609708,https://www.rappler.com/business/russia-warning-west-oil-price-spike-european-union-gas-supply-cuts/,"[621, 622, 624]",[5083],"[2716, 2299, 2160, 1203, 17355, 2665]","['Antony Blinken', 'Alexander Novak']",,2,0.0641402116402116
344,2022-03-08 10:15:07,1609735,https://www.rappler.com/business/updates-global-stock-markets-oil-commodities-prices-march-7-2022/,"[621, 624, 626]",[5083],"[2160, 2181]","['Joe Biden', 'Edward Moya', 'Finn Robinson']",,2,-0.0194957225314368
345,2022-03-08 10:45:23,1609784,https://www.rappler.com/business/ukraine-evacuates-trapped-seafarers-foreign-mariners-count-cost-war/,"[621, 624]",[5083],"[2839, 17355, 1239]","['Golam Mawla', 'Banglar Samriddhi', 'Viktor Vyshnov', 'Hadisur Rahman', 'Asiful Islam']",,2,-0.0141690716690716
346,2022-03-08 16:45:00,1610136,https://www.rappler.com/business/house-eyes-fuel-tax-suspension-economic-team-wants-subsidies/,"[621, 622, 16490]",[4952],"[1381, 2160, 297, 392]","['Rodrigo Duterte', 'Karl Chua', 'Joey Salceda', 'Carlos Dominguez III']",Ralf Rivas,2,0.0281647576960076
347,2022-03-08 17:35:50,1610347,https://www.rappler.com/business/opec-meets-with-united-states-shale-executives-oil-prices-skyrocket/,"[621, 625, 624]",[5083],[2160],"['Ayed Al Qahtani', 'John Hess', 'Gabriel Obiang', 'Vincent Energy', 'Toby Rice', 'Mohammad Barkindo']",,2,0.0434632034632034
348,2022-03-08 18:00:06,1610378,https://www.rappler.com/business/ukraine-crisis-jeopardizes-middle-east-black-sea-wheat-supply/,"[621, 622, 624]",[5083],"[2531, 1067, 1114, 2513, 1160, 3229, 17355, 1227, 3382, 1239]","['Ahmed Morsy', 'Monica Malik', 'Ezzat Aziz']",,2,0.0273022959183673
349,2022-03-08 19:45:10,1610290,https://www.rappler.com/business/cusi-rejects-lawmakers-push-economic-emergency-rising-oil-prices/,"[621, 622]",[414],"[3171, 2160, 297]","['Gerardo Erguiza Jr', 'Alfonso Cusi', 'Rodrigo Duterte', 'Vicente Sotto III', 'Joey Salceda']",Aika Rey,2,0.0857086167800453
350,2022-03-08 20:25:44,1610548,https://www.rappler.com/business/duterte-government-game-plan-inflation-imports-opening-economy/,"[621, 622]",[4952],"[2160, 297, 167]","['Karl Chua', 'Rodrigo Duterte', 'Carlos Dominguez III']",Ralf Rivas,2,0.0200231481481481
351,2022-03-08 21:10:05,1610644,https://www.rappler.com/business/united-states-warns-companies-shipping-russia-banned-goods-may-lead-blacklisting/,"[621, 622, 624]",[5083],"[2513, 1203, 17355, 2665]","['Matthew Axelrod', 'Don Pearce', 'Bill Reinsch']",,2,0.0153110556914904
352,2022-03-08 21:30:13,1610667,https://www.rappler.com/business/explainer-how-sanctions-against-russia-battering-global-aviation-industry/,"[621, 624]",[5083],"[2487, 1203, 17355]","['Brendan Sobie', 'Viktor Berta']",,2,0.0144017094017094
353,2022-03-08 21:55:07,1610700,https://www.rappler.com/business/carmakers-face-soaring-metal-costs-russian-supplies-at-risk/,"[621, 624]",[5083],"[2191, 1203, 17355]","['Caspar Rawles', 'Chris Blasi', 'Voss Edelstahlhandel', 'Carlos Tavares', 'Andreas Weller', 'Thorsten Studemund']",,2,0.0743125399732542
354,2022-03-08 22:10:40,1610724,https://www.rappler.com/business/marine-insurance-joint-war-committee-advisory-ukraine-conflict-march-7-2022/,"[621, 624]",[5083],"[2762, 2839, 1203, 17355, 1239]","['Marcus Baker', 'Niels Rasmussen']",,2,0.0696762265512265
355,2022-03-08 22:25:47,1610741,https://www.rappler.com/business/remorseful-shell-abandons-russian-oil-march-8-2022/,"[621, 625]",[5083],"[2160, 1203, 17355]","['Joe Biden', 'Ben van Beurden', 'Patrick Pouyanne']",,2,-0.0560286935286935
356,2022-03-08 22:55:19,1610774,https://www.rappler.com/business/united-states-ban-russia-oil-global-effects/,"[621, 622, 624]",[5083],"[2160, 1203, 17355, 2665]","['Wolfgang Ketter', 'Susannah Streeter', 'Kaho Yu', 'Alex Collins', 'Jerome Powell', 'Carsten Brzeski']",,2,-0.0080324263038548
357,2022-03-08 23:25:00,1610799,https://www.rappler.com/business/europe-banks-management-dominated-men/,"[621, 625, 626]",[5083],"[2299, 2469, 882]","['Pietro Carlo Padoan', 'Andrea Orcel', 'Elena Carletti', 'Claire Godding', 'Egon Zehnder', 'Gertrude Tumpel Gugerell', 'Stephanie Niven', 'Gavin Rochussen', 'Jane Fraser', 'Kristine Braden', 'Vincent Kaufmann', 'Simone Stebler']",,2,0.0695780860553588
358,2022-03-08 23:40:58,1610811,https://www.rappler.com/business/soaring-prices-set-stage-eventual-reversal-oil-gas-demand/,"[621, 624]",[5083],"[2716, 2160]","['Josu Jon Imaz', 'Tengku Taufik', 'Brigham McCown', 'Joe Biden', 'Andy Brown', 'John Hess', 'Adam Bielawski', 'Mohammad Barkindo']",,2,0.1023088023088023
359,2022-03-09 01:05:16,1610864,https://www.rappler.com/business/united-states-ban-russia-oil-energy-imports-march-2022/,"[621, 622, 16490, 764, 624, 768, 761]",[5083],"[2716, 2160, 1203, 17355, 2665]","['Joe Biden', 'Chris Coons', 'Kwasi Kwarteng', 'Susan Wild']",,2,0.0115982954545454
360,2022-03-09 01:35:00,1610869,https://www.rappler.com/business/britain-phase-out-russia-oil-imports-by-end-2022/,"[621, 622, 764, 761]",[5083],"[2160, 1203, 17355, 1241]","['Boris Johnson', 'Kwasi Kwarteng', 'Vladimir Putin']",,2,0.1159090909090909
361,2022-03-09 07:55:00,1610887,https://www.rappler.com/business/post-soviet-era-icon-mcdonalds-close-all-restaurants-russia-ukraine-invasion/,"[621, 625, 648, 646]",[5083],"[2461, 1453, 1203, 17355]","['Chris Kempczinski', 'William Edwards', 'Larry Weinberg', 'Jeffrey Sonnenfeld', 'Paul Musgrave']",,2,0.0505830460691571
362,2022-03-09 08:20:34,1610909,https://www.rappler.com/business/starbucks-coca-cola-pepsi-join-mcdonalds-halting-russia-sales-ukraine-invasion/,"[621, 625, 16490, 648, 646]",[5083],"[2850, 1453, 1203, 17355]","['Jeffrey Sonnenfeld', 'Ben van Beurden']",,2,0.0335438747076678
363,2022-03-09 09:30:02,1610937,https://www.rappler.com/business/updates-global-stock-markets-oil-prices-march-8-2022/,"[621, 624, 626]",[5083],"[2160, 2181]","['Solita Marcelli', 'Jason McMann', 'Joe Biden', 'Benchmark Brent']",,2,-0.0444482323232323
364,2022-03-09 09:45:04,1610955,https://www.rappler.com/business/ukraine-crisis-could-disrupt-india-spending-plans-economic-recovery/,"[621, 622]",[5083],"[1870, 1140, 17355]","['Radhika Rao', 'Abheek Barua']",,2,-0.0177600732600732
365,2022-03-09 10:15:10,1610999,https://www.rappler.com/business/ukraine-war-sully-clothes-sales-levi-strauss-ralph-lauren/,"[621, 625, 646, 689]",[5083],"[2739, 2299, 2650, 17355]","['Zachary Warring', 'Jane Hali', 'Tommy Hilfiger', 'Kate Spade', 'Michael Kors', 'Levi Strauss', 'Ralph Lauren', 'Calvin Klein']",,2,-0.0134090909090909
366,2022-03-09 13:55:32,1611158,https://www.rappler.com/business/russia-ukraine-war-fueled-inflation-adds-europe-cost-living-crisis/,"[621, 622]",[5083],"[2299, 1870, 17355]","['Teresa Soares', 'Christine Lagarde', 'Alejandro Oterino', 'Gunther Schnabl', 'Antonio Dias']",,2,0.0284663299663299
367,2022-03-09 15:15:12,1611346,https://www.rappler.com/business/united-states-sanctions-russia-oil-leave-more-cargoes-sea-no-buyers/,"[621, 622, 624]",[5083],"[2716, 2160, 1203, 17355, 2665]","['Joe Biden', 'Roger Diwan', 'Clay Seigle']",,2,0.0125069143819143
368,2022-03-09 17:35:11,1611477,https://www.rappler.com/business/manny-pangilinan-businesses-eye-initial-public-offerings-toll-company-most-ready/,"[621, 625, 16490]",[4952],"[2520, 2627]","['Manny Pangilinan', 'Harish Pillai', 'Rod Franco', 'Ramoncito Fernandez']",Ralf Rivas,2,0.0838554322022064
369,2022-03-09 19:05:04,1611615,https://www.rappler.com/business/bello-orders-minimum-wage-review-rising-oil-prices-2022/,"[621, 622, 16490]",[414],"[2952, 2015]","['Alfonso Cusi', 'Silvestre Bello III']",Aika Rey,2,0.0852777777777777
370,2022-03-09 21:20:00,1612009,https://www.rappler.com/business/united-states-oil-company-executives-tell-governments-work-with-us/,"[621, 625, 624]",[5083],"[2160, 1203, 17355, 2665]","['Ryan Lance', 'Scott Sheffield', 'Joe Biden', 'Jen Psaki', 'Amos Hochstein', 'Amin Nasser']",,2,0.0996018499729437
